o,h,l,c,v,time
65010,66100,63823,64055.7,17971805948.5744,2024-07-16T19:00:00-05:00
64055.8,65173.8,63206.4,63959.9,13824327203.2061,2024-07-17T19:00:00-05:00
63960,67362.8,63266.2,66627.9,20380653025.9215,2024-07-18T19:00:00-05:00
66627.9,67648.7,66159.1,67095.6,8257377670.6534,2024-07-19T19:00:00-05:00
67095.6,68351.2,65750,68138,13911463550.0015,2024-07-20T19:00:00-05:00
68138,68459.7,66538.6,67499.2,13023873634.5214,2024-07-21T19:00:00-05:00
67499.2,67729.3,65416.5,65916.4,17980444662.555,2024-07-22T19:00:00-05:00
65916.3,67087.3,65040.5,65350.8,14220075813.2488,2024-07-23T19:00:00-05:00
65350.7,66144,63456.7,65773,20623005904.9615,2024-07-24T19:00:00-05:00
65773,68200,65688.2,67882.5,15831122695.3857,2024-07-25T19:00:00-05:00
67882.5,69381.7,66624.5,67873.8,22565689722.0149,2024-07-26T19:00:00-05:00
67873.7,68300,67037,68215.5,7921123857.983,2024-07-27T19:00:00-05:00
68215.5,70081,66365.8,66750,25468657192.3265,2024-07-28T19:00:00-05:00
66750.1,66966.6,65254.5,66159.3,16326143659.4329,2024-07-29T19:00:00-05:00
66159.3,66826.3,64500.4,64601.8,16232481617.514,2024-07-30T19:00:00-05:00
64601.8,65650,62271.2,65328.9,23808803539.3908,2024-07-31T19:00:00-05:00
65329,65577,61200.2,61483.7,26819648694.4873,2024-08-01T19:00:00-05:00
61483.7,62166,59800,60684.6,17722256113.6817,2024-08-02T19:00:00-05:00
60684.5,61089.5,57040,58144.5,20115489357.5107,2024-08-03T19:00:00-05:00
58144.5,58286.9,48888,54003.1,67990051180.4246,2024-08-04T19:00:00-05:00
54003.5,56999.9,53925.3,55991.2,24309795155.8327,2024-08-05T19:00:00-05:00
55991.3,57699,54519.8,55102.9,21224723175.0819,2024-08-06T19:00:00-05:00
55102.7,62737.2,54672.4,61659.8,27555476244.8093,2024-08-07T19:00:00-05:00
61659.8,61726,59500,60808.6,18673503224.6215,2024-08-08T19:00:00-05:00
60808.6,61450,60208.5,60889.9,7020704932.1334,2024-08-09T19:00:00-05:00
60889.8,62000,58255.4,58693.1,12164185111.2509,2024-08-10T19:00:00-05:00
58693.1,60666,57615,59323.6,21694621167.0394,2024-08-11T19:00:00-05:00
59323.7,61545,58360,60550.5,15330469730.884,2024-08-12T19:00:00-05:00
60550.4,61839.7,58367.2,58648.1,17731755290.8926,2024-08-13T19:00:00-05:00
58648.1,59820,55969,57511,20999068870.1185,2024-08-14T19:00:00-05:00
57511.1,59780.2,57062.1,58854.9,15694024531.7604,2024-08-15T19:00:00-05:00
58854.9,59690.2,58769.4,59468.5,4568144650.753,2024-08-16T19:00:00-05:00
59468.5,60250,58352,58390,8920281600.0022,2024-08-17T19:00:00-05:00
58390.1,59585.4,57750,59398.5,12535012449.3104,2024-08-18T19:00:00-05:00
59398.4,61386,58501.1,58982.9,17199916984.8854,2024-08-19T19:00:00-05:00
58982.7,61793.9,58728.9,61120,16243035145.5424,2024-08-20T19:00:00-05:00
61120,61392,59677.6,60349.9,12796994937.8142,2024-08-21T19:00:00-05:00
60349.9,65000,60301.5,64019.9,23801148653.6027,2024-08-22T19:00:00-05:00
64020,64472.5,63522.7,64116.5,8498903239.6787,2024-08-23T19:00:00-05:00
64116.6,65175.4,63731.3,64190.2,7418612747.515,2024-08-24T19:00:00-05:00
64190.1,64455.8,62750.2,62807.6,12456922931.3165,2024-08-25T19:00:00-05:00
62807.7,63196,57928.2,59384.5,20779523749.7268,2024-08-26T19:00:00-05:00
59384.4,60197.8,57820,59010,18562872715.1163,2024-08-27T19:00:00-05:00
59010,61144.9,58655,59323.2,13998969371.3328,2024-08-28T19:00:00-05:00
59323.3,59914.9,57525,59096.3,15800867331.9045,2024-08-29T19:00:00-05:00
59096.4,59436,58700,58941.9,4066497717.5845,2024-08-30T19:00:00-05:00
58941.9,59052.7,57123,57268.1,12933895925.2744,2024-08-31T19:00:00-05:00
57268.2,59412.3,57093,59112.1,11712419172.795,2024-09-01T19:00:00-05:00
59112.2,59790,57320,57451.9,13447226470.4609,2024-09-02T19:00:00-05:00
57452,58500,55555,57944.8,18654996691.6496,2024-09-03T19:00:00-05:00
57944.8,58318.9,55600,56145.7,16706983331.5114,2024-09-04T19:00:00-05:00
56145.7,57000,52510.8,53927.7,26315447185.6674,2024-09-05T19:00:00-05:00
53927.7,54820.2,53725,54134.9,6924962115.2069,2024-09-06T19:00:00-05:00
54134.9,55300,53596.5,54839.6,8813184110.1358,2024-09-07T19:00:00-05:00
54839.6,58153.2,54557,57010,17488704504.8939,2024-09-08T19:00:00-05:00
57010.1,58033.2,56361,57609.1,13034447010.3421,2024-09-09T19:00:00-05:00
57609.2,57954.4,55515.2,57306,19189519766.4357,2024-09-10T19:00:00-05:00
57305.6,58606.6,57283.1,58097,15152598927.5993,2024-09-11T19:00:00-05:00
58097.1,60597,57594,60456.2,16347301105.7288,2024-09-12T19:00:00-05:00
60456.2,60572.9,59360.1,59964,6149235232.3635,2024-09-13T19:00:00-05:00
59963.9,60369.4,58654,59100.5,7800793636.4292,2024-09-14T19:00:00-05:00
59100.5,59182.2,57446.3,58187,14603348631.9761,2024-09-15T19:00:00-05:00
58186.9,61345,57588.8,60281,19038321639.0137,2024-09-16T19:00:00-05:00
60281,61765,59138,61735.3,21417520495.0833,2024-09-17T19:00:00-05:00
61735.2,63830.1,61534,62926.9,18960155162.2396,2024-09-18T19:00:00-05:00
62926.9,64126.7,62320,63175.7,16250218365.5372,2024-09-19T19:00:00-05:00
63175.8,63546.9,62714.2,63320.6,4936698095.0651,2024-09-20T19:00:00-05:00
63320.6,64000,62339,63558.4,9395420389.8272,2024-09-21T19:00:00-05:00
63558.5,64724.8,62534.4,63302,14896908173.8234,2024-09-22T19:00:00-05:00
63302.1,64666,62688.2,64243.1,15054674299.2683,2024-09-23T19:00:00-05:00
64243.2,64800,62910,63118.4,11776673563.1163,2024-09-24T19:00:00-05:00
63118.3,65800,62634.4,65139.2,20718992185.678,2024-09-25T19:00:00-05:00
65139.1,66450,64788,65749.6,14875893315.8678,2024-09-26T19:00:00-05:00
65749.5,66237,65368.1,65822.6,6095989319.2135,2024-09-27T19:00:00-05:00
65822.7,66059.3,65400,65568.1,5789627050.3354,2024-09-28T19:00:00-05:00
65568.2,65588.8,62825,63309.1,18997607103.0126,2024-09-29T19:00:00-05:00
63309,64092.6,60128.2,60776.8,26755493885.3899,2024-09-30T19:00:00-05:00
60776.7,62355,59934.9,60622.6,19999404529.2852,2024-10-01T19:00:00-05:00
60622.7,61452.6,59815,60727.2,17336091836.27,2024-10-02T19:00:00-05:00
60727.1,62457.1,60434.1,62054.4,14447746961.9902,2024-10-03T19:00:00-05:00
62054.3,62344,61648,62023.1,4609122548.4572,2024-10-04T19:00:00-05:00
62023.1,62961.5,61778.9,62789.3,6017121008.9919,2024-10-05T19:00:00-05:00
62789.2,64448.2,62091.8,62190.7,18940446302.203,2024-10-06T19:00:00-05:00
62190.6,63178.7,61836,62131.7,14120603242.0385,2024-10-07T19:00:00-05:00
62131.8,62520.9,60251.9,60606.4,13394677263.5892,2024-10-08T19:00:00-05:00
60606.3,61297,58900,60293.2,15860405780.4076,2024-10-09T19:00:00-05:00
60293.3,63400,60057.8,62509,16298893017.0712,2024-10-10T19:00:00-05:00
62509,63462.6,62458,63176,6470177626.464,2024-10-11T19:00:00-05:00
63176,63260,62020,62839.8,8122752454.3461,2024-10-12T19:00:00-05:00
62839.7,66533,62420,66064.9,21963988608.9641,2024-10-13T19:00:00-05:00
66064.9,67953.7,64771.7,67044.1,27957041428.0807,2024-10-14T19:00:00-05:00
67044,68400,66724.2,67592,17177733118.7289,2024-10-15T19:00:00-05:00
67592,67925.9,66600,67401.5,14795153761.8873,2024-10-16T19:00:00-05:00
67401.4,69000,67165,68407.8,16730901504.8293,2024-10-17T19:00:00-05:00
68407.8,68684.9,68000,68357.1,4686325673.7438,2024-10-18T19:00:00-05:00
68357.1,69425.8,68069.8,69020.1,7272048794.3466,2024-10-19T19:00:00-05:00
69020.2,69566,66865.9,67368.8,17221617873.7173,2024-10-20T19:00:00-05:00
67368.7,67825,66536.5,67406.4,14691166149.6541,2024-10-21T19:00:00-05:00
67406.5,67449,65222.3,66647.2,16468537447.6596,2024-10-22T19:00:00-05:00
66647.3,68842.5,66482,68173.8,14354055097.1875,2024-10-23T19:00:00-05:00
68173.8,68748,65557.2,66662.8,23450526408.6316,2024-10-24T19:00:00-05:00
66662.7,67450,66414.1,67071.8,6303067579.1687,2024-10-25T19:00:00-05:00
67071.9,68306.1,66909.4,67992.6,5981930614.3059,2024-10-26T19:00:00-05:00
67992.7,70331,67584.2,69940,18236171421.8583,2024-10-27T19:00:00-05:00
69939.9,73660,69733,72739.5,27455007926.1748,2024-10-28T19:00:00-05:00
72739.5,72984.9,71444.2,72349,16394188654.606,2024-10-29T19:00:00-05:00
72349,72720.3,69705,70321.9,18260760123.5806,2024-10-30T19:00:00-05:00
70321.9,71650,68822.5,69495.5,24669634579.821,2024-10-31T19:00:00-05:00
69495.4,69913.1,69022.8,69366.6,5511214506.2433,2024-11-01T19:00:00-05:00
69366.6,69393.7,67446.6,68762.5,15481189991.0051,2024-11-02T19:00:00-05:00
68762.4,69495.3,66810,67834.3,16709353097.5159,2024-11-03T19:00:00-05:00
67834.4,70537.4,67454.2,69353.1,18923313261.1344,2024-11-04T19:00:00-05:00
69353.1,76420,69272.7,75579.9,50043205310.5456,2024-11-05T19:00:00-05:00
75579.9,76900,74450,75859.4,21221651106.8903,2024-11-06T19:00:00-05:00
75859.4,77182.9,75576.3,76482.2,17565977969.5862,2024-11-07T19:00:00-05:00
76482.2,76920,75683.2,76675.1,8994274695.9386,2024-11-08T19:00:00-05:00
76675.1,81699.8,76501.1,80410,33137444953.7792,2024-11-09T19:00:00-05:00
80409.9,89800,80261.2,88728.9,51920813346.0668,2024-11-10T19:00:00-05:00
88729,90070.1,85159.9,87972,56140369562.3727,2024-11-11T19:00:00-05:00
87972,93421.1,86180,90413.3,49967659023.0223,2024-11-12T19:00:00-05:00
90413.3,91846.1,86714,87382.7,32637597515.7498,2024-11-13T19:00:00-05:00
87382.6,91921.5,87111,91074.6,28084005388.8683,2024-11-14T19:00:00-05:00
91074.6,91849.8,90120,90643.3,11746501248.6327,2024-11-15T19:00:00-05:00
90643.2,91539.6,88736.1,89899.9,15122664850.2454,2024-11-16T19:00:00-05:00
89900,92700,89422.1,90507.4,30393808916.8658,2024-11-17T19:00:00-05:00
90507.4,93985.9,90405.6,92335.9,27997396858.8469,2024-11-18T19:00:00-05:00
92335.9,94849,91500,94288,27168395873.832,2024-11-19T19:00:00-05:00
94288,99100,94008.7,98366.8,40626654543.9006,2024-11-20T19:00:00-05:00
98366.8,99660,97199.9,98921.4,26216909030.094,2024-11-21T19:00:00-05:00
98921.5,98937.3,97173.5,97725.5,11819462596.9911,2024-11-22T19:00:00-05:00
97725.6,98666,95822.1,97960.4,16831589684.0454,2024-11-23T19:00:00-05:00
97960.5,98999,92666,93064,31634687040.9702,2024-11-24T19:00:00-05:00
93064.1,95064,90866.4,92021.4,32058902678.1563,2024-11-25T19:00:00-05:00
92021.5,97250,91864,95905.2,22446076230.8584,2024-11-26T19:00:00-05:00
95905.2,96627.6,94700.1,95694.4,14702795800.1606,2024-11-27T19:00:00-05:00
95694.4,98713.3,95404.5,97516.3,18512652386.8993,2024-11-28T19:00:00-05:00
97516.2,97522.1,96150,96475.1,9004661766.2904,2024-11-29T19:00:00-05:00
96475.2,97933,95736.5,97265.1,10974265480.5651,2024-11-30T19:00:00-05:00
97265,98266,94400,95890.5,24755083134.5579,2024-12-01T19:00:00-05:00
95890.6,96375,93605,95913.3,19687303723.6659,2024-12-02T19:00:00-05:00
95913.3,99099.9,94650.8,98669.8,26698049320.8388,2024-12-03T19:00:00-05:00
98669.8,104630.4,90200,97001.5,58190478966.4816,2024-12-04T19:00:00-05:00
97001.6,101988.8,96429.5,99802.5,27982519536.3629,2024-12-05T19:00:00-05:00
99802.5,100499,98876.9,99899.2,9559725060.0843,2024-12-06T19:00:00-05:00
99899.2,101457.9,98709.4,101200,10964215189.3537,2024-12-07T19:00:00-05:00
101200.1,101300,94039.7,97349.1,32095171666.8881,2024-12-08T19:00:00-05:00
97349.1,98320.6,94265.5,96602.4,28128995256.94,2024-12-09T19:00:00-05:00
96602.3,101880,95650,101115.3,21990259502.0448,2024-12-10T19:00:00-05:00
101115.3,102538.4,99280.2,99982.4,21703741805.3757,2024-12-11T19:00:00-05:00
99982.3,101869.5,99149.6,101371.9,15327755767.9402,2024-12-12T19:00:00-05:00
101371.9,102638,100559.8,101381,10931714344.5646,2024-12-13T19:00:00-05:00
101381,105374.6,101200.1,104460.4,16238887998.3954,2024-12-14T19:00:00-05:00
104460.5,107777,103264.6,106023.2,28967170491.4131,2024-12-15T19:00:00-05:00
106023.2,108366.8,105252,106074.6,21114957423.71,2024-12-16T19:00:00-05:00
106074.6,106484.6,99951.1,100181.1,33924060434.7435,2024-12-17T19:00:00-05:00
100181.2,102756.7,95681.2,97434.4,37081163651.0337,2024-12-18T19:00:00-05:00
97434.3,98243,92272.6,97764.4,37950774049.0614,2024-12-19T19:00:00-05:00
97764.5,99485,96375,97261.8,15758333154.2,2024-12-20T19:00:00-05:00
97261.7,97437.9,94200,95153.5,14215891287.9016,2024-12-21T19:00:00-05:00
95153.4,96499,92464.4,94861.1,23329500095.6315,2024-12-22T19:00:00-05:00
94861,99450,93525.6,98627.2,20464603022.2388,2024-12-23T19:00:00-05:00
98626.9,99580.7,97570,99379.7,12283803766.2932,2024-12-24T19:00:00-05:00
99379.6,99950,95153,95751,18828784450.066,2024-12-25T19:00:00-05:00
95750.9,97564.5,93440,94258.9,19664743933.164,2024-12-26T19:00:00-05:00
94258.9,95700,94100,95259.1,6441580105.0803,2024-12-27T19:00:00-05:00
95259.1,95300,92961.8,93700,8949366966.5803,2024-12-28T19:00:00-05:00
93699.9,95031.6,91510,92759.3,20718614290.082,2024-12-29T19:00:00-05:00
92759.3,96254.3,92000,93548.9,16839152825.5285,2024-12-30T19:00:00-05:00
93548.8,95161.2,92796.5,94580.9,8572615379.7751,2024-12-31T19:00:00-05:00
94580.9,97822.4,94357.4,96967.5,17519595621.5423,2025-01-01T19:00:00-05:00
96967.6,98949,96061.5,98145.7,12189056682.4378,2025-01-02T19:00:00-05:00
